0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1
0	0	0	0	-1	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	-1	0	-1	0	-1	-1	-1	0	0	-1	0
0	0	-1	-1	-1	-1	-1	-1	0	0	-1	91	347	264	136	67	30	12	5	3	1	3	4	1	1	-1	-2	-1	0	0	0	-1
0	0	0	0	1	1	1	0	0	0	0	0	2	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	0	0	0
0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	-1	0	0	0	0
-1	-1	0	0	-1	0	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1
0	1	0	0	1	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1
-1	0	-1	0	-1	0	0	-1	-1	-1	0	0	1	1	0	-1	-1	-1	-1	-1	0	-1	-1	-1	0	0	0	0	-1	0	-1	-1
0	-1	0	0	-1	0	0	-1	0	0	0	0	2	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	-1	0	0	0	-1
-1	0	0	0	-1	-1	0	0	-1	-1	-1	0	3	1	-1	-2	0	0	-1	0	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	0
0	0	1	0	0	0	0	0	0	1	0	0	3	3	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0
0	0	0	1	0	0	0	1	0	1	1	1	2	2	1	1	1	0	0	0	0	1	0	0	1	0	0	-1	0	0	0	0
0	0	0	0	-1	0	-1	-1	0	0	-1	0	0	-1	-1	0	0	-1	-1	-1	-1	0	-1	-1	0	-1	0	-1	0	-1	0	-1
