0	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	0	-1	0	-1
1	0	0	0	0	0	1	0	0	0	0	-1	173	246	151	76	35	16	9	4	3	3	1	3	4	3	1	1	1	1	0	1
1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1
-1	0	0	0	-1	0	0	0	0	0	-1	0	3	2	0	0	-1	-1	-1	-1	-1	0	-1	0	0	0	-1	0	0	0	-1	0
0	-1	0	0	0	-1	-1	0	0	-1	-1	-1	1	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	0	-1	0	-1	0	1
0	-1	0	0	-1	0	0	-1	-1	0	0	0	9	9	6	2	0	0	1	0	0	-1	0	0	0	0	-1	0	0	-1	-1	0
0	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	-1	0	0	0	0	-1	-1	-1	-1	-2	-1	0	-1	-1	0	0	0	0
0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	2	0	1	2	1	1	0
0	0	-1	0	0	0	-1	0	-1	0	-1	-1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-2	-1	0	0	-1
-1	0	0	0	-1	0	0	-1	-1	-1	0	0	2	2	1	0	0	-1	0	-1	-1	-1	0	-1	-1	-1	0	0	0	0	0	0
0	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	1
-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	0	0	0	-1	-1	0	-1	-1	0	0	0	-1	-2	-1	0
0	0	0	0	1	1	0	2	1	1	0	1	1	1	1	1	1	0	-1	1	1	1	1	0	1	1	1	0	0	0	0	0
0	1	0	0	0	0	0	0	0	1	1	2	3	2	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1
0	-1	0	0	-1	-1	0	1	-1	-1	-1	-1	70	237	172	90	44	20	10	7	3	1	1	0	0	0	0	-1	-1	-1	-1	-1
-1	0	0	-1	0	-1	-1	0	0	-1	-2	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1
0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0
0	0	1	0	0	1	1	0	0	0	0	0	3	3	2	2	2	0	1	0	0	1	1	0	2	1	0	0	1	0	0	-1
0	1	0	0	0	0	1	1	0	0	0	1	6	4	3	1	2	1	0	0	1	1	0	2	1	0	0	0	0	0	1	0
-1	-1	0	0	-1	-1	-1	0	0	0	-1	0	1	0	-1	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0
0	0	0	1	1	1	1	1	1	1	0	45	203	160	82	40	21	13	7	3	0	4	5	1	3	2	1	0	0	0	1	1
-1	1	1	0	0	0	0	1	0	-1	-1	-1	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	0	0	-1	0	-1	-1	-1
0	0	-1	-1	0	-1	-1	-1	-1	-1	-1	1	2	1	0	-1	0	0	-1	0	0	0	-1	0	-1	-1	0	0	-1	0	-1	-1
1	0	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0
-1	0	0	-1	0	0	0	0	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1	0	-1	-1	-1	-1	0	-1	0	0	0	-1	0	0
0	0	0	0	0	0	1	1	0	0	0	0	1	2	2	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
